,弹幕内容
0,俺也一样
1,同学公孙瓒 老师卢植
2,丞相
3,必须看完
4,汉武帝就盛行卖官了
5,都是后期配音啊，口型对不上
6,俺也一样
7,雷公助我
8,张飞使用了酒
9,喝多了
10,我二弟天下无敌
11,俺也一样！
12,三星神将刘瑜
13,哥哥~
14,白话都有字幕的
15,激将法
16,一见钟情
17,我信你个鬼
18,俺也一样
19,前方俺也一样
20,俺也一样要来了
21,引用的是民间相传的一龙降二虎
22,拜关公，哈哈哈
23,三弟穿的是丝绸
24,泪目
25,刘备自己也是ssr行不
26,这个时候依旧是朝廷最强 因为还有北军五校和西园新军 而且还有朱隽皇甫嵩
27,俺也一样
28,朝廷衰弱 地方崛起 要等到西凉之战 讨伐边张韩遂之后了 北军五校元气大伤
29,俺也一样
30,李逵，是您吗
31,俺也一样
32,俺也一样
33,督邮被打死了？
34,破站牛批！
35,你是来拉shi的吧
36,能双持兵器，可以想象臂力有多高
37,暴衣
38,这他吗就是来骗钱的啊
39,钱要了人要了还要当大哥
40,哭天下
41,小粉红张飞
42,俺也一样
43,脑海里出现了郭德纲的声音
44,跟我干
45,片尾曲唱给貂蝉的
46,新手村却有传奇铁匠
47,把豆分与众人！
48,反了，全他娘的反了，杀入洛阳，夺了鸟位
49,没名字的人来挨打了
50,张飞：关羽你咋那么能说呢
51,俺也一样
52,俺也一样
53,皇叔：我请客，你付钱
54,大佬们上线
55,软硬不吃
56,张飞太萌了
57,黄巾军，当时的道教，只不过被张角改意思了
58,刘备：老子要当军阀
59,大弟三哥 大哥二哥 二弟三弟 
60,留名
61,中山靖王刘胜墓已经被发掘了，刘胜穿着金缕玉衣下葬的
62,武僧一龙！
63,上好的豆芽，买些吧
64,他们为啥哭？
65,雷公助我！
66,俺也一样！
67,界马超：什么？张角？
68,我服了，真就有呗
69,好怕被马踩到呀
70,卡姆栏
71,孙坚这时候比刘关张厉害多了，别部司马都封小了
72,董卓讨黄巾大败被免职了，贿赂十常侍复的官
73,哦，刘备，给爷笑一个
74,董卓卖队友上位的……
75,第一集，刘备出世
76,这剑好长
77,B站牛皮
78,你们这些弹幕哈哈哈哈哈
