,弹幕内容
0,哈哈哈哈哈哈哈哈哈哈
1,哈哈哈哈哈哈哈
2,哈哈
3,你老实巴交？？？
4,有点尬的其实
5,哈哈哈哈哈哈哈哈哈哈哈哈哈
6,哈哈哈哈哈呵呵呵呵呵呵鹅鹅鹅鹅鹅鹅鹅鹅鹅
7,哈哈哈哈哈啊哈哈哈
8,老实巴交？？？
9,开头见
10,杨超越：打钱
11,哈哈哈
12,喜闻乐见
13,用餐愉快
14,鹅鹅鹅鹅鹅鹅鹅鹅鹅鹅鹅鹅鹅鹅
15,哈哈哈哈
16,鹅也有今天
17,hhhh
18,哈哈韩哈哈哈哈哈
19,掉毛哈哈哈哈哈哈哈
20,哈哈哈哈哈哈哈哈哈哈哈哈
21,哈哈哈哈哈哈哈
22,哈哈 
23,你看她吃的多香
24,哈哈哈哈哈哈哈哈哈哈哈
25,哈哈哈哈哈哈哈哈哈哈哈哈哈哈鹅鹅鹅鹅鹅鹅鹅鹅鹅鹅鹅鹅鹅鹅鹅鹅鹅鹅鹅鹅鹅鹅
26,哈哈哈哈哈哈哈哈哈哈
27,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
28,呸，老实就算了
29,哈哈哈哈哈哈哈哈哈哈哈哈
30,哈哈哈哈哈哈
31,红红火火恍恍惚惚
32,腾讯被三个人玩了，这可是传说级的！
33,哈哈哈哈哈哈哈哈哈哈哈哈哈
34,哈哈哈哈哈哈哈
35,哈哈哈哈哈哈
36,老实巴交？？？
37,阅文阅文阅文阅文阅文阅文阅文
38,哈哈哈哈哈哈哈哈哈哈
39,哈哈哈哈哈哈哈哈哈哈哈哈哈
40,顶流
41,明明是笑出鹅叫好不咯～鹅鹅鹅鹅鹅鹅鹅鹅鹅鹅鹅
42,哈哈哈哈哈哈哈哈哈好
43,哈哈哈哈哈哈
44,才知道鹅厂原来有B站号。。
45,哈哈哈哈哈哈哈哈哈哈哈哈
46,哈哈哈哈哈哈哈哈哈哈
47,请收下我的膝盖
48,第三遍
49,哈哈哈哈哈哈哈
50,哈哈哈哈哈哈哈哈哈哈
51,再来亿边
52,哈哈哈哈哈哈哈哈哈哈哈哈
53,亏钱就来了？？。你是傻了吧   啥时候不坑钱在过来哭诉
54,不至于哈哈哈哈
55,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
56,哈哈哈哈哈哈哈哈哈哈哈
57,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
58,哈哈哈哈哈哈哈哈
59,？？？？？？？？？？？？？？
60,哈哈哈哈哈哈哈
61,哈哈哈哈哈
62,老实巴交不至于哈哈哈哈
63,小马哥含泪吃了三碗辣酱拌饭，哈哈哈哈
64,傻鹅！你配！
65,卧槽无情
66,超越：文案费付一下
67,你也有今天
68,哈哈哈哈哈哈哈哈哈哈
69,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
70,泪目哈哈哈哈哈
71,这个视频出不去了哈哈哈哈哈
72,我忍不住了，哈哈哈
73,哈哈哈哈哈哈哈哈哈哈好活
74,赶来点赞
75,哈哈哈哈
76,红红火火恍恍惚惚哈哈哈哈哈哈哈
77,哈哈哈哈哈哈哈
78,赶紧倒闭吧
79,？？？？？？
80,哈哈哈
81,鹅鹅鹅鹅鹅
82,哈哈哈哈哈哈哈哈哈哈哈哈哈
83,哈哈哈哈哈哈哈哈哈哈哈哈哈哈
84,哈哈哈哈哈哈哈哈啊
85,哈哈
86,老企鹅哈哈哈哈哈哈哈哈
87,哈哈哈哈哈哈哈哈哈哈哈哈
88,哈哈哈哈哈哈
89,你考试？
90,哈哈哈哈哈哈哈哈哈哈哈哈
91,哈哈哈哈哈哈哈哈哈哈哈哈超越妹妹的q币到账了吗
92,哈哈
93,给超越妹妹打钱！
94,哈哈哈哈哈哈哈哈哈哈哈
95,鹅鹅鹅鹅鹅鹅
96,先笑为敬哈哈哈哈哈哈哈哈哈哈哈
97,你老实？？？？？
98,阅文事件警告
99,哈哈哈哈
100,兄弟们把泪目打在公屏上
101,哈哈哈哈哈哈哈哈哈哈哈
102,哈哈哈哈哈哈哈哈哈哈哈
103,哈哈哈哈哈哈哈哈哈
104,哈哈哈哈哈哈哈哈哈哈哈哈哈
105,笑死，企鹅肉，哈哈哈哈哈哈哈
106,哈哈哈哈哈哈哈
107,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈笑死我了
108,哈哈哈哈哈哈哈哈哈哈
109,哈哈哈哈
110,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
111,哈哈哈哈
112,哈哈
113,欢迎回来！
114,哈哈哈哈哈
115,不至于不至于
116,又搞我越哥
117,哈哈哈哈
118,？？？？？？
119,欢迎回来
120,哈哈哈哈哈
121,哈哈哈哈
122,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
123,哈哈哈哈哈哈哈哈哈哈哈哈哈吴宣仪孟美岐不要再笑了！
124,泪目 鹅鹅鹅鹅鹅鹅鹅鹅鹅鹅
125,哈哈哈哈
126,哈哈哈哈
127,哈哈哈哈哈哈
128,评论区炸出太多官方号了
129,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
130,但凡接单的有点脑子，也知道，辣椒酱投到游戏里，想想都知道屁效果没有，你们还敢收1600万
131,哈哈哈哈哈哈哈哈哈
132,哈哈哈哈
133,阅文阅文阅文阅文
134,哈哈哈哈哈哈
135,哈哈哈哈哈哈哈哈
136,哈哈哈
137,哈哈哈哈哈哈哈哈
138,哈哈哈哈哈哈
139,哈哈哈哈哈哈哈哈哈哈
140,哈哈哈哈哈哈哈哈哈哈
141,哈哈哈哈哈哈哈哈哈哈
142,合影合影
143,哈哈哈哈哈哈哈哈哈哈哈
144,你老实？
145,哈哈哈哈哈哈哈哈哈哈哈哈哈哈0
146,哈哈哈哈哈哈哈哈哈哈哈哈哈哈
147,欢    迎    回    来   
148,咬牙切齿的1600w
149,小企鹅你也有今天
150,呵呵红红火火恍恍惚惚
151,2333
152,卖惨呀?
153,再来一遍
154,哈哈哈。。杨超越这一段有毒
155,哈哈哈哈哈哈哈哈
156,南山必胜客老实巴交？
157,哈哈哈哈哈哈哈哈哈哈哈
158,哈哈哈哈哈哈哈哈哈哈哈哈
159,给我军神大幽魂
160,老实巴交？
161,好久没有笑出声了
162,哈哈哈哈哈
163,老笨比了
164,哈哈哈哈哈哈哈哈
165,哈哈哈哈哈哈哈哈哈哈哈哈
166,哈哈哈哈哈
167,老实巴交？？
168,有多老呀
169,太搞笑了
170,用餐愉快
171,？？？？？
172,。。。。。。
173,来了
174,给超越打钱哈哈哈哈哈哈
175,哈哈。
176,鹅叫~鹅鹅鹅鹅鹅鹅鹅鹅鹅鹅
177,多捞啊
178,哈哈哈哈哈哈哈哈
179,老实巴交？？
180,哈哈哈哈哈哈哈
181,老实巴交？？？
182,憨个毛线啊。冻结1600万是谁啊
183,哈哈哈哈哈哈
184,哈哈哈哈哈哈哈哈哈哈哈
185,我乐死了
186,自嘲吗
187,哈哈哈
188,哈哈哈
189,来自猪场的笑声
190,哈哈哈哈哈
191,哈哈哈哈哈哈哈哈哈哈哈哈
192,哈哈哈哈哈哈哈哈哈
193,哈哈哈哈哈、
194,哈哈哈哈哈哈哈哈哈
195,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
196,重新定义老实巴交
197,哈哈哈哈哈
198,原来鹅厂有B站号啊
199,哈哈哈哈哈哈哈哈
200,。。哈哈。
201,老实巴交老企鹅
202,哈哈哈哈哈哈哈哈哈哈哈
203,来自猪场的笑声
204,配音木有灵魂
205,腾讯被骗 笑声一片
206,该吃吃该喝喝
207,我忍不住
208,老企鹅装墙上了，哈哈哈哈哈哈哈
209,哈哈哈哈哈哈哈哈哈哈哈淦
210,鹅鹅鹅鹅鹅鹅鹅鹅鹅
211,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
212,有多重呀
213,？？？？？
214,哈哈哈哈哈
215,文艺复兴
216,我是nm？
217,腾讯倒霉，全网开心
218,吐痰
219,哈哈哈哈哈哈哈哈哈哈哈哈！
220,鹅厂牛逼
221,老实巴交？
222,哈哈哈哈哈哈哈哈哈哈哈哈哈
223,草啊哈哈哈哈
224,不好意思我笑了哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
225,请道歉谢谢
226,是氪金第一名
227,哈哈哈哈哈哈哈哈
228,哈哈哈哈哈哈哈哈哈
